# Hybrid Glider Plugin Log
# t,x,y,z,p,q,r
44.8,5.83248,0,-2.05971,0,0.837429,3.14159
44.9,5.84961,0,-2.0421,0,0.849159,3.14159
45,5.86673,0,-2.02406,0,0.860377,3.14159
45.1,5.88383,0,-2.00559,0,0.871088,3.14159
45.2,5.9009,0,-1.98669,0,0.881297,3.14159
45.3,5.91797,0,-1.96736,0,0.89101,3.14159
45.4,5.93502,0,-1.9476,0,0.900232,3.14159
45.5,5.95207,0,-1.92743,0,0.908971,3.14159
45.6,5.9691,0,-1.90684,0,0.917231,3.14159
45.7,5.98614,0,-1.88584,0,0.925022,3.14159
45.8,6.00318,0,-1.86442,0,0.93235,3.14159
45.9,6.02022,0,-1.8426,0,0.939222,3.14159
46,6.03728,0,-1.82038,0,0.945647,3.14159
46.1,6.05435,0,-1.79776,0,0.951632,3.14159
46.2,6.07145,0,-1.77474,0,0.957186,3.14159
46.3,6.08857,0,-1.75134,0,0.962317,3.14159
46.4,6.10572,0,-1.72755,0,0.967034,3.14159
46.5,6.12291,0,-1.70338,0,0.971345,3.14159
46.6,6.14014,0,-1.67883,0,0.975259,3.14159
46.7,6.15743,0,-1.65391,0,0.978786,3.14159
46.8,6.17477,0,-1.62863,0,0.981933,3.14159
46.9,6.19218,0,-1.60299,0,0.98471,3.14159
47,6.20965,0,-1.57699,0,0.987126,3.14159
